,addr:postcode,koatuu,lat,lon,name,name:en,name:prefix,name:ru,name:uk,place,population,postal_code
340219,22125,0521480809,49.80377,28.85079,Верболози,Verbolozy,село,Верболозы,Верболози,village,459,
340220,31133,6824287703,49.80377,27.36591,Киселі,Kyseli,село,Кисели,Киселі,village,391,
340221,92141,4425488003,49.8029581,38.2910906,Караїчне,Karaichne,село,Караичное,Караїчне,village,154,
340222,62493,6325181505,49.80343,36.37436,Шубіне,Shubine,село,Шубино,Шубіне,village,77,
340223,63040,6321282004,49.8065371,35.5409826,Корсунівка,Korsunivka,село,Корсуновка,Корсунівка,village,120,
340224,37830,5324883201,49.80343,32.95521,Мусіївка,Musiivka,село,Мусиевка,Мусіївка,village,473,
340225,09621,3223783001,49.80343,30.58045,Маківка,Makivka,село,Маковка,Маківка,village,395,
340226,31125,6824286403,49.80343,27.18636,Попівці,Popivtsi,село,Поповцы,Попівці,village,595,
340227,47440,6123881203,49.7986405,26.0100829,Жуківці,Zhukivtsi,село,Жуковцы,Жуківці,village,272,
340228,81332,4622481201,49.8001847,23.1999451,Гостинцеве,Hostyntseve,село,Гостинцово,Гостинцеве,village,955,
340229,47442,6123882004,49.80308,26.08429,Мала Карначівка,Mala Karnachivka,село,Малая Карначевка,Мала Карначівка,village,222,
340230,19013,7122086604,49.7999839,31.2663853,Райок,Raiok,селище,Раёк,Райок,village,18,
340232,47234,6122685702,49.80274,25.42889,Бліх,Blikh,село,Блих,Бліх,village,494,
340233,47234,6122655300,49.8022871,25.3836982,Залізці,Zaliztsi,селище міського типу,Заложцы,Залізці,town,2706,
340234,47224,6122681304,49.80274,25.11131,Нище,Nysche,село,Нище,Нище,village,202,
340235,63420,6321786205,49.7960782,36.1697202,Островерхівка,Ostroverkhivka,село,Островерховка,Островерхівка,village,391,
340236,63120,6323281208,49.8005492,35.3876272,Логвинівка,Lohvynivka,село,Логвиновка,Логвинівка,hamlet,32,
340237,38300,5320255103,49.8024,33.68889,Бутова Долина,Butova Dolyna,село,Бутова Долина,Бутова Долина,village,444,
340238,81504,4620981803,49.8024,23.63571,Дроздовичі,Drozdovychi,село,Дроздовичи,Дроздовичі,village,824,
340239,81521,4620987601,49.8016023,23.525282,Родатичі,Rodatychi,село,Родатичи,Родатичі,village,1912,
340240,81330,4622486901,49.8016156,23.2343745,Твіржа,Tvirzha,село,Твиржа,Твіржа,village,645,
340241,63710,6323781506,49.80205,37.39471,Єгорівка,Yehorivka,село,Егоровка,Єгорівка,hamlet,13,
340242,63044,6321283009,49.8021259,35.6791021,Шийки,Shyiky,село,Шийки,Шийки,hamlet,45,
340243,63110,6323280602,49.80205,35.2462,Вдовичине,Vdovychyne,село,Вдовичино,Вдовичине,hamlet,11,
340244,13266,1825886001,49.80205,27.95712,Носівки,Nosivky,село,Носовки,Носівки,village,751,
