town,2014,2015,2016,obl,dis,koatuu,np,oblcode,type,oldname
м. Боково-Хрустальне,11731.0,11625.0,11589.0,Луганська область,Хрустальний,4411670300,М,44,town,ВАХРУШЕВЕ
м. Міусинськ,4732.0,4688.0,4672.0,Луганська область,Хрустальний,4411670600,М,44,town,
м. Петрово-Красносілля,13117.0,12997.0,12977.0,Луганська область,Хрустальний,4411670900,М,44,town,ПЕТРОВСЬКЕ
смт Грушове,860.0,848.0,846.0,Луганська область,Хрустальний,4411645400,Т,44,smt,
смт Запоріжжя,866.0,860.0,860.0,Луганська область,Хрустальний,4411645700,Т,44,smt,
смт Княгинівка,868.0,856.0,854.0,Луганська область,Хрустальний,4411646000,Т,44,smt,
смт Садово-Хрустальненський,597.0,589.0,588.0,Луганська область,Хрустальний,4411646400,Т,44,smt,
смт Софіївський,3926.0,3889.0,3876.0,Луганська область,Хрустальний,4411646700,Т,44,smt,
смт Федорівка,414.0,414.0,414.0,Луганська область,Хрустальний,4411647000,Т,44,smt,
смт Хрустальне,1393.0,1386.0,1383.0,Луганська область,Хрустальний,4411647300,Т,44,smt,
смт Штерівка,1246.0,1243.0,1240.0,Луганська область,Хрустальний,4411647600,Т,44,smt,
м. Сорокине,44014.0,43759.0,43658.0,Луганська область,Сорокине,4411400000,М,44,town,КРАСНОДОН
м. Молодогвардійськ,23113.0,22996.0,22927.0,Луганська область,Сорокине,4411470400,М,44,town,
м. Суходільськ,20949.0,20833.0,20805.0,Луганська область,Сорокине,4411470700,М,44,town,
смт Гірне,43.0,41.0,41.0,Луганська область,Сорокине,4411445300,Т,44,smt,
смт Буран,974.0,970.0,964.0,Луганська область,Сорокине,4411447400,Т,44,smt,ЕНГЕЛЬСОВЕ
смт Ізварине,1675.0,1671.0,1672.0,Луганська область,Сорокине,4411445600,Т,44,smt,
смт Краснодарський,332.0,328.0,327.0,Луганська область,Сорокине,4411445900,Т,44,smt,
смт Тепле,5287.0,5271.0,5265.0,Луганська область,Сорокине,4411446200,Т,44,smt,КРАСНОДОН
смт Сєверний,1854.0,1850.0,1850.0,Луганська область,Сорокине,4411446500,Т,44,smt,
смт Сєверо-Гундорівський,1107.0,1097.0,1095.0,Луганська область,Сорокине,4411446800,Т,44,smt,
смт Урало-Кавказ,2526.0,2513.0,2509.0,Луганська область,Сорокине,4411447100,Т,44,smt,
м. Лисичанськ,103459.0,102397.0,101134.0,Луганська область,Лисичанськ,4411800000,М,44,town,
м. Новодружеськ,7660.0,7534.0,7462.0,Луганська область,Лисичанськ,4411870400,М,44,town,
м. Привілля,7643.0,7507.0,7405.0,Луганська область,Лисичанськ,4411870700,М,44,town,
м. Первомайськ,38235.0,37902.0,37696.0,Луганська область,Первомайськ,4412100000,М,44,town,
м. Ровеньки,47370.0,46976.0,46773.0,Луганська область,Ровеньки,4412300000,М,44,town,
смт Великокам’янка,1149.0,1144.0,1142.0,Луганська область,Ровеньки,4412345400,Т,44,smt,
смт Гірник,785.0,779.0,775.0,Луганська область,Ровеньки,4412345700,Т,44,smt,
смт Любимівка,8683.0,8675.0,8670.0,Луганська область,Ровеньки,4412345800,Т,44,smt,ДЗЕРЖИНСЬКИЙ
смт Кленовий,2096.0,2084.0,2082.0,Луганська область,Ровеньки,4412346000,Т,44,smt,
смт Михайлівка,2801.0,2799.0,2793.0,Луганська область,Ровеньки,4412346400,Т,44,smt,
смт Нагольно-Тарасівка,2086.0,2083.0,2082.0,Луганська область,Ровеньки,4412346700,Т,44,smt,
смт Новодар’ївка,4425.0,4398.0,4394.0,Луганська область,Ровеньки,4412346900,Т,44,smt,
смт Картушине,1569.0,1565.0,1563.0,Луганська область,Ровеньки,4412347100,Т,44,smt,ПРОЛЕТАРСЬКИЙ
смт Тацине,270.0,265.0,264.0,Луганська область,Ровеньки,4412347300,Т,44,smt,
смт Ясенівський,9033.0,9002.0,8998.0,Луганська область,Ровеньки,4412347700,Т,44,smt,
м. Рубіжне,59951.0,59592.0,59141.0,Луганська область,Рубіжне,4412500000,М,44,town,
м. Довжанськ,64895.0,64503.0,64225.0,Луганська область,Довжанськ,4412700000,М,44,town,СВЕРДЛОВСЬК
м. Вознесенівка,15582.0,15513.0,15471.0,Луганська область,Довжанськ,4412770600,М,44,town,ЧЕРВОНОПАРТИЗАНСЬК
смт Ведмеже,2757.0,2768.0,2759.0,Луганська область,Довжанськ,4412745300,Т,44,smt,ВОЛОДАРСЬК
смт Кундрюче,1683.0,1677.0,1677.0,Луганська область,Довжанськ,4412745700,Т,44,smt,КАЛІНІНСЬКИЙ
смт Дубове,3084.0,3058.0,3050.0,Луганська область,Довжанськ,4412746000,Т,44,smt,КОМСОМОЛЬСЬКИЙ
смт Вальянівське,3346.0,3332.0,3330.0,Луганська область,Довжанськ,4412746300,Т,44,smt,ЛЕНІНСЬКЕ
смт Павлівка,1035.0,1028.0,1028.0,Луганська область,Довжанськ,4412746600,Т,44,smt,
смт Шахтарське,3577.0,3555.0,3544.0,Луганська область,Довжанськ,4412746900,Т,44,smt,
м. Сєвєродонецьк,108899.0,108137.0,107167.0,Луганська область,Сєвєродонецьк,4412900000,М,44,town,
смт Борівське,5897.0,5871.0,5833.0,Луганська область,Сєвєродонецьк,4412945200,Т,44,smt,
смт Воронове,867.0,870.0,877.0,Луганська область,Сєвєродонецьк,4412945300,Т,44,smt,
смт Метьолкіне,755.0,760.0,779.0,Луганська область,Сєвєродонецьк,4412945600,Т,44,smt,
смт Сиротине,1637.0,1609.0,1622.0,Луганська область,Сєвєродонецьк,4412945900,Т,44,smt,
м. Кадіївка,77168.0,76492.0,75928.0,Луганська область,Кадіївка,4413100000,М,44,town,СТАХАНОВ
м. Алмазна,4299.0,4276.0,4248.0,Луганська область,Кадіївка,4413170200,М,44,town,
м. Ірміно,9886.0,9764.0,9687.0,Луганська область,Кадіївка,4413170800,М,44,town,
смт Єсаулівка,1445.0,1448.0,1447.0,Луганська область,Антрацитівський район,4420355300,Т,44,smt,
смт Іванівка,7219.0,7195.0,7180.0,Луганська область,Антрацитівський район,4420355600,Т,44,smt,
смт Красний Кут,2453.0,2439.0,2438.0,Луганська область,Антрацитівський район,4420355900,Т,44,smt,
смт Маломиколаївка,1702.0,1684.0,1679.0,Луганська область,Антрацитівський район,4420356200,Т,44,smt,
смт Нижній Нагольчик,1633.0,1637.0,1636.0,Луганська область,Антрацитівський район,4420356500,Т,44,smt,
смт Фащівка,2309.0,2298.0,2294.0,Луганська область,Антрацитівський район,4420357200,Т,44,smt,
смт Біловодськ,8179.0,8192.0,8180.0,Луганська область,Біловодський район,4420655100,Т,44,smt,
смт Білокуракине,6669.0,6639.0,6560.0,Луганська область,Білокуракинський район,4420955100,Т,44,smt,
смт Лозно-Олександрівка,953.0,933.0,920.0,Луганська область,Білокуракинський район,4420955700,Т,44,smt,
смт Великий Лог,609.0,605.0,604.0,Луганська область,Сорокинський район,4421455300,Т,44,smt,
смт Мирне,382.0,372.0,372.0,Луганська область,Сорокинський район,4421455700,Т,44,smt,
смт Новоолександрівка,1572.0,1566.0,1558.0,Луганська область,Сорокинський район,4421456000,Т,44,smt,
смт Новосвітлівка,3717.0,3737.0,3730.0,Луганська область,Сорокинський район,4421456200,Т,44,smt,
смт Сімейкине,2257.0,2243.0,2239.0,Луганська область,Сорокинський район,4421456500,Т,44,smt,
смт Талове,1407.0,1402.0,1400.0,Луганська область,Сорокинський район,4421456900,Т,44,smt,
м. Кремінна,20137.0,19958.0,19727.0,Луганська область,Кремінський район,4421610100,М,44,town,
смт Красноріченське,4355.0,4290.0,4230.0,Луганська область,Кремінський район,4421655400,Т,44,smt,
м. Лутугине,17905.0,17822.0,17762.0,Луганська область,Лутугинський район,4422210100,М,44,town,
смт Біле,6427.0,6407.0,6390.0,Луганська область,Лутугинський район,4422255300,Т,44,smt,
смт Білоріченський,3289.0,3248.0,3229.0,Луганська область,Лутугинський район,4422255500,Т,44,smt,
смт Врубівський,1287.0,1274.0,1272.0,Луганська область,Лутугинський район,4422255800,Т,44,smt,
смт Георгіївка,6432.0,6433.0,6416.0,Луганська область,Лутугинський район,4422256100,Т,44,smt,
смт Марія,1054.0,1048.0,1049.0,Луганська область,Лутугинський район,4422256400,Т,44,smt,ЛЕНІНА
смт Успенка,8829.0,8744.0,8718.0,Луганська область,Лутугинський район,4422256800,Т,44,smt,
смт Челюскінець,1122.0,1113.0,1113.0,Луганська область,Лутугинський район,4422257000,Т,44,smt,
смт Юр’ївка,2974.0,2959.0,2957.0,Луганська область,Лутугинський район,4422257400,Т,44,smt,
смт Марківка,6139.0,6089.0,6054.0,Луганська область,Марківський район,4422555100,Т,44,smt,
смт Мілове,5929.0,5911.0,5915.0,Луганська область,Міловський район,4422855100,Т,44,smt,
м. Щастя,12629.0,12506.0,12305.0,Луганська область,Новоайдарський район,4423110100,М,44,town,
смт Новоайдар,8498.0,8479.0,8431.0,Луганська область,Новоайдарський район,4423155100,Т,44,smt,
смт Новопсков,9891.0,9868.0,9859.0,Луганська область,Новопсковський район,4423355100,Т,44,smt,
смт Білолуцьк,3983.0,3958.0,3901.0,Луганська область,Новопсковський район,4423355300,Т,44,smt,
м. Перевальськ,25744.0,25585.0,25509.0,Луганська область,Перевальський район,4423610100,М,44,town,
м. Кипуче,7465.0,7420.0,7394.0,Луганська область,Перевальський район,4423610300,М,44,town,АРТЕМІВСЬК
м. Зоринськ,7291.0,7231.0,7219.0,Луганська область,Перевальський район,4423610600,М,44,town,
смт Байрачки,820.0,809.0,806.0,Луганська область,Перевальський район,4423655300,Т,44,smt,
смт Бугаївка,3079.0,3051.0,3034.0,Луганська область,Перевальський район,4423655500,Т,44,smt,
смт Городище,2455.0,2434.0,2433.0,Луганська область,Перевальський район,4423655800,Т,44,smt,
смт Комісарівка,1687.0,1663.0,1657.0,Луганська область,Перевальський район,4423656100,Т,44,smt,
смт Михайлівка,2422.0,2409.0,2402.0,Луганська область,Перевальський район,4423656400,Т,44,smt,
смт Селезнівка,2474.0,2469.0,2466.0,Луганська область,Перевальський район,4423656700,Т,44,smt,
смт Фащівка,4709.0,4689.0,4682.0,Луганська область,Перевальський район,4423657100,Т,44,smt,
смт Центральний,828.0,818.0,815.0,Луганська область,Перевальський район,4423657300,Т,44,smt,
смт Ящикове,1818.0,1799.0,1794.0,Луганська область,Перевальський район,4423657700,Т,44,smt,
м. Гірське,10041.0,9970.0,9921.0,Луганська область,Попаснянський район,4423810500,М,44,town,
м. Золоте,14376.0,14261.0,14138.0,Луганська область,Попаснянський район,4423810800,М,44,town,
м. Попасна,21765.0,21595.0,21241.0,Луганська область,Попаснянський район,4423810100,М,44,town,
смт Білогорівка,925.0,920.0,910.0,Луганська область,Попаснянський район,4423855300,Т,44,smt,
смт Вовчоярівка,847.0,840.0,829.0,Луганська область,Попаснянський район,4423855900,Т,44,smt,
смт Врубівка,993.0,988.0,979.0,Луганська область,Попаснянський район,4423856200,Т,44,smt,
смт Калинове,3066.0,3048.0,3041.0,Луганська область,Попаснянський район,4423856500,Т,44,smt,
смт Комишуваха,2198.0,2181.0,2164.0,Луганська область,Попаснянський район,4423856900,Т,44,smt,
смт Малорязанцеве,793.0,776.0,772.0,Луганська область,Попаснянський район,4423857200,Т,44,smt,
смт Мирна Долина,328.0,321.0,321.0,Луганська область,Попаснянський район,4423857500,Т,44,smt,
смт Нижнє,2502.0,2482.0,2453.0,Луганська область,Попаснянський район,4423857700,Т,44,smt,
смт Новотошківське,2347.0,2337.0,2324.0,Луганська область,Попаснянський район,4423857900,Т,44,smt,
смт Тошківка,4298.0,4245.0,4223.0,Луганська область,Попаснянський район,4423858200,Т,44,smt,
смт Чорнухине,5835.0,5786.0,5767.0,Луганська область,Попаснянський район,4423858500,Т,44,smt,
м. Сватове,18093.0,17945.0,17844.0,Луганська область,Сватівський район,4424010100,М,44,town,
смт Нижня Дуванка,2183.0,2153.0,2115.0,Луганська область,Сватівський район,4424055400,Т,44,smt,
смт Криничне,3999.0,3988.0,3985.0,Луганська область,Довжанський район,4424255300,Т,44,smt,БІРЮКОВЕ
м. Зимогір’я,9881.0,9833.0,9816.0,Луганська область,Слов’яносербський район,4424510300,М,44,town,
смт Слов’яносербськ,8005.0,7976.0,7934.0,Луганська область,Слов’яносербський район,4424555100,Т,44,smt,
смт Лозівський,4957.0,4938.0,4927.0,Луганська область,Слов’яносербський район,4424555400,Т,44,smt,
смт Іванівське,3190.0,3165.0,3159.0,Луганська область,Слов’яносербський район,4424555600,Т,44,smt,ЛОТИКОВЕ
смт Родакове,6233.0,6227.0,6205.0,Луганська область,Слов’яносербський район,4424555900,Т,44,smt,
смт Сентянівка,3233.0,3224.0,3211.0,Луганська область,Слов’яносербський район,4424556200,Т,44,smt,СЕНТЯКІВКА
смт Станиця Луганська,13774.0,13723.0,13534.0,Луганська область,Станично-Луганський район,4424855100,Т,44,smt,
смт Петропавлівка,4994.0,4974.0,4901.0,Луганська область,Станично-Луганський район,4424855400,Т,44,smt,ПЕТРІВКА
м. Старобільськ,17980.0,17716.0,17453.0,Луганська область,Старобільський район,4425110100,М,44,town,
смт Троїцьке,7816.0,7778.0,7704.0,Луганська область,Троїцький район,4425455100,Т,44,smt,
м. Львів,729038.0,729429.0,728350.0,Львівська область,Львів,4610100000,В,46,city,
м. Винники,16517.0,16739.0,16902.0,Львівська область,Львів,4610160300,М,46,town,
смт Брюховичі,5994.0,6014.0,6116.0,Львівська область,Львів,4610166300,Т,46,smt,
смт Рудне,6826.0,6912.0,7030.0,Львівська область,Львів,4610165500,Т,46,smt,
м. Борислав,34877.0,34649.0,34392.0,Львівська область,Борислав,4610300000,М,46,town,
смт Східниця,2219.0,2247.0,2255.0,Львівська область,Борислав,4610345400,Т,46,smt,
м. Дрогобич,76866.0,76795.0,76686.0,Львівська область,Дрогобич,4610600000,М,46,town,
м. Стебник,20988.0,20935.0,20888.0,Львівська область,Дрогобич,4610670500,М,46,town,
м. Моршин,6013.0,5999.0,5926.0,Львівська область,Моршин,4610700000,М,46,town,
м. Новий Розділ,28875.0,28803.0,28746.0,Львівська область,Новий Розділ,4610800000,М,46,town,
м. Самбір,34879.0,35063.0,35026.0,Львівська область,Самбір,4610900000,М,46,town,
м. Стрий,59835.0,59650.0,59426.0,Львівська область,Стрий,4611200000,М,46,town,
м. Трускавець,29386.0,29256.0,28982.0,Львівська область,Трускавець,4611500000,М,46,town,
м. Червоноград,67993.0,67863.0,67492.0,Львівська область,Червоноград,4611800000,М,46,town,
м. Соснівка,11437.0,11317.0,11265.0,Львівська область,Червоноград,4611870400,М,46,town,
смт Гірник,2895.0,2887.0,2914.0,Львівська область,Червоноград,4611845300,Т,46,smt,
м. Броди,23803.0,23796.0,23713.0,Львівська область,Бродівський район,4620310100,М,46,town,
смт Підкамінь,2087.0,2069.0,2052.0,Львівська область,Бродівський район,4620355400,Т,46,smt,
м. Буськ,8484.0,8549.0,8538.0,Львівська область,Буський район,4620610100,М,46,town,
смт Красне,6353.0,6396.0,6416.0,Львівська область,Буський район,4620655300,Т,46,smt,
смт Олесько,1470.0,1474.0,1470.0,Львівська область,Буський район,4620655600,Т,46,smt,
м. Городок,16046.0,16121.0,16218.0,Львівська область,Городоцький район,4620910100,М,46,town,
м. Комарно,3841.0,3812.0,3821.0,Львівська область,Городоцький район,4620910400,М,46,town,
смт Великий Любінь,4571.0,4588.0,4595.0,Львівська область,Городоцький район,4620955300,Т,46,smt,
смт Меденичі,3391.0,3404.0,3389.0,Львівська область,Дрогобицький район,4621255400,Т,46,smt,
смт Підбуж,3182.0,3269.0,3292.0,Львівська область,Дрогобицький район,4621255700,Т,46,smt,
м. Жидачів,11149.0,11100.0,11017.0,Львівська область,Жидачівський район,4621510100,М,46,town,
м. Ходорів,9813.0,9746.0,9626.0,Львівська область,Жидачівський район,4621510500,М,46,town,
смт Гніздичів,4188.0,4159.0,4133.0,Львівська область,Жидачівський район,4621555300,Т,46,smt,
смт Журавно,3555.0,3552.0,3536.0,Львівська область,Жидачівський район,4621555600,Т,46,smt,
смт Нові Стрілища,851.0,847.0,830.0,Львівська область,Жидачівський район,4621555900,Т,46,smt,
м. Жовква,13629.0,13718.0,13774.0,Львівська область,Жовківський район,4622710100,М,46,town,
м. Дубляни,10132.0,10155.0,10238.0,Львівська область,Жовківський район,4622710200,М,46,town,
м. Рава-Руська,8487.0,8578.0,8637.0,Львівська область,Жовківський район,4622710400,М,46,town,
смт Куликів,3997.0,4022.0,4052.0,Львівська область,Жовківський район,4622755600,Т,46,smt,
смт Магерів,2000.0,2011.0,2009.0,Львівська область,Жовківський район,4622755900,Т,46,smt,
м. Золочів,24119.0,24218.0,24260.0,Львівська область,Золочівський район,4621810100,М,46,town,
м. Глиняни,3165.0,3152.0,3151.0,Львівська область,Золочівський район,4621810200,М,46,town,
смт Поморяни,1360.0,1355.0,1348.0,Львівська область,Золочівський район,4621855600,Т,46,smt,
м. Кам’янка-Бузька,10837.0,10818.0,10779.0,Львівська область,Кам’янка-Бузький район,4622110100,М,46,town,
смт Добротвір,6486.0,6471.0,6421.0,Львівська область,Кам’янка-Бузький район,4622155300,Т,46,smt,
смт Запитів,2827.0,2859.0,2894.0,Львівська область,Кам’янка-Бузький район,4622155400,Т,46,smt,
смт Новий Яричів,2953.0,2970.0,2975.0,Львівська область,Кам’янка-Бузький район,4622155600,Т,46,smt,
м. Миколаїв,14934.0,14985.0,14940.0,Львівська область,Миколаївський район,4623010100,М,46,town,
смт Розділ,2588.0,2576.0,2544.0,Львівська область,Миколаївський район,4623055400,Т,46,smt,
м. Мостиська,9258.0,9316.0,9300.0,Львівська область,Мостиський район,4622410100,М,46,town,
м. Судова Вишня,6504.0,6539.0,6541.0,Львівська область,Мостиський район,4622410500,М,46,town,
м. Перемишляни,6885.0,6887.0,6885.0,Львівська область,Перемишлянський район,4623310100,М,46,town,
м. Бібрка,3816.0,3818.0,3823.0,Львівська область,Перемишлянський район,4623310300,М,46,town,
м. Пустомити,9211.0,9310.0,9370.0,Львівська область,Пустомитівський район,4623610100,М,46,town,
смт Щирець,5771.0,5799.0,5760.0,Львівська область,Пустомитівський район,4623655500,Т,46,smt,
м. Радехів,9612.0,9687.0,9716.0,Львівська область,Радехівський район,4623910100,М,46,town,
смт Лопатин,3390.0,3393.0,3367.0,Львівська область,Радехівський район,4623955400,Т,46,smt,
м. Рудки,5447.0,5451.0,5414.0,Львівська область,Самбірський район,4624210400,М,46,town,
смт Дубляни,1806.0,1798.0,1764.0,Львівська область,Самбірський район,4624255300,Т,46,smt,
м. Новий Калинів,4123.0,4163.0,4155.0,Львівська область,Самбірський район,4624210300,М,46,town,
м. Сколе,6324.0,6319.0,6291.0,Львівська область,Сколівський район,4624510100,М,46,town,
смт Верхнє Синьовидне,3446.0,3451.0,3444.0,Львівська область,Сколівський район,4624555300,Т,46,smt,
смт Славське,3392.0,3451.0,3481.0,Львівська область,Сколівський район,4624555700,Т,46,smt,
м. Сокаль,21371.0,21354.0,21274.0,Львівська область,Сокальський район,4624810100,М,46,town,
м. Белз,2352.0,2347.0,2322.0,Львівська область,Сокальський район,4624810300,М,46,town,
м. Великі Мости,6132.0,6166.0,6213.0,Львівська область,Сокальський район,4624810600,М,46,town,
м. Угнів,1002.0,999.0,984.0,Львівська область,Сокальський район,4624810900,М,46,town,
смт Жвирка,3693.0,3720.0,3710.0,Львівська область,Сокальський район,4624855300,Т,46,smt,
м. Старий Самбір,6596.0,6667.0,6648.0,Львівська область,Старосамбірський район,4625110100,М,46,town,
м. Добромиль,4406.0,4370.0,4379.0,Львівська область,Старосамбірський район,4625110300,М,46,town,
м. Хирів,4056.0,4090.0,4127.0,Львівська область,Старосамбірський район,4625110700,М,46,town,
смт Нижанковичі,1832.0,1820.0,1832.0,Львівська область,Старосамбірський район,4625155400,Т,46,smt,
смт Стара Сіль,1144.0,1123.0,1124.0,Львівська область,Старосамбірський район,4625155700,Т,46,smt,
смт Дашава,2383.0,2376.0,2406.0,Львівська область,Стрийський район,4625355300,Т,46,smt,
м. Турка,7207.0,7193.0,7196.0,Львівська область,Турківський район,4625510100,М,46,town,
смт Бориня,1449.0,1439.0,1430.0,Львівська область,Турківський район,4625555300,Т,46,smt,
м. Яворів,13009.0,12963.0,12934.0,Львівська область,Яворівський район,4625810100,М,46,town,
м. Новояворівськ,29950.0,30271.0,30467.0,Львівська область,Яворівський район,4625810500,М,46,town,
смт Івано-Франкове,6363.0,6360.0,6379.0,Львівська область,Яворівський район,4625855300,Т,46,smt,
смт Краковець,1133.0,1138.0,1143.0,Львівська область,Яворівський район,4625855600,Т,46,smt,
смт Немирів,2001.0,2003.0,1998.0,Львівська область,Яворівський район,4625855900,Т,46,smt,
смт Шкло,5862.0,5898.0,5921.0,Львівська область,Яворівський район,4625856500,Т,46,smt,
м. Миколаїв,494922.0,494763.0,493583.0,Миколаївська область,Миколаїв,4810100000,В,48,city,
м. Вознесенськ,36192.0,35843.0,35450.0,Миколаївська область,Вознесенськ,4810200000,М,48,town,
м. Очаків,14566.0,14491.0,14513.0,Миколаївська область,Очаків,4810300000,М,48,town,
м. Первомайськ,66672.0,66733.0,66606.0,Миколаївська область,Первомайськ,4810400000,М,48,town,
м. Южноукраїнськ,40378.0,40348.0,40292.0,Миколаївська область,Южноукраїнськ,4810800000,М,48,town,
смт Арбузинка,6418.0,6404.0,6375.0,Миколаївська область,Арбузинський район,4820355100,Т,48,smt,
смт Костянтинівка,2212.0,2187.0,2172.0,Миколаївська область,Арбузинський район,4820355700,Т,48,smt,
м. Баштанка,12658.0,12631.0,12639.0,Миколаївська область,Баштанський район,4820610100,М,48,town,
смт Березанка,4095.0,4127.0,4130.0,Миколаївська область,Березанський район,4820955100,Т,48,smt,
смт Березнегувате,7778.0,7788.0,7739.0,Миколаївська область,Березнегуватський район,4821155100,Т,48,smt,
смт Братське,5340.0,5337.0,5313.0,Миколаївська область,Братський район,4821455100,Т,48,smt,
смт Веселинове,6069.0,6045.0,5991.0,Миколаївська область,Веселинівський район,4821755100,Т,48,smt,
смт Токарівка,2050.0,2050.0,2052.0,Миколаївська область,Веселинівський район,4821755500,Т,48,smt,КУДРЯВЦІВКА
смт Олександрівка,5368.0,5340.0,5284.0,Миколаївська область,Вознесенський район,4822055200,Т,48,smt,
смт Врадіївка,8410.0,8396.0,8375.0,Миколаївська область,Врадіївський район,4822355100,Т,48,smt,
смт Доманівка,6147.0,6125.0,6147.0,Миколаївська область,Доманівський район,4822755100,Т,48,smt,
смт Єланець,4936.0,4943.0,4915.0,Миколаївська область,Єланецький район,4823055100,Т,48,smt,
смт Воскресенське,4792.0,4796.0,4790.0,Миколаївська область,Вітовський район,4823355300,Т,48,smt,
смт Первомайське,2869.0,2846.0,2817.0,Миколаївська область,Вітовський район,4823355700,Т,48,smt,
смт Казанка,7221.0,7219.0,7179.0,Миколаївська область,Казанківський район,4823655100,Т,48,smt,
смт Криве Озеро,7894.0,7821.0,7800.0,Миколаївська область,Кривоозерський район,4823955100,Т,48,smt,
смт Ольшанське,3736.0,3732.0,3731.0,Миколаївська область,Миколаївський район,4824255600,Т,48,smt,
м. Новий Буг,15603.0,15603.0,15574.0,Миколаївська область,Новобузький район,4824510100,М,48,town,
м. Нова Одеса,12253.0,12164.0,12087.0,Миколаївська область,Новоодеський район,4824810100,М,48,town,
смт Підгородна,2191.0,2194.0,2243.0,Миколаївська область,Первомайський район,4825455400,Т,48,smt,
м. Снігурівка,12992.0,12969.0,12837.0,Миколаївська область,Снігурівський район,4825710100,М,48,town,
м. Одеса,1017022.0,1016515.0,1010848.0,Одеська область,Одеса,5110100000,В,51,city,
м. Білгород-Дністровський,50105.0,50086.0,50131.0,Одеська область,Білгород-Дністровський,5110300000,М,51,town,
смт Затока,1921.0,1921.0,1936.0,Одеська область,Білгород-Дністровський,5110345300,Т,51,smt,
смт Сергіївка,5344.0,5368.0,5402.0,Одеська область,Білгород-Дністровський,5110345700,Т,51,smt,
м. Ізмаїл,72501.0,72471.0,72178.0,Одеська область,Ізмаїл,5110600000,М,51,town,
м. Чорноморськ,59840.0,59851.0,59825.0,Одеська область,Чорноморськ,5110800000,М,51,town,ІЛЛІЧІВСЬК
смт Олександрівка,7300.0,7367.0,7526.0,Одеська область,Чорноморськ,5110845200,Т,51,smt,
м. Подільськ,40717.0,40640.0,40582.0,Одеська область,Подільськ,5111200000,М,51,town,КОТОВСЬК
м. Теплодар,10227.0,10251.0,10296.0,Одеська область,Теплодар,5111500000,М,51,town,
м. Южне,31796.0,32003.0,32154.0,Одеська область,Южне,5111700000,М,51,town,
м. Ананьїв,8563.0,8495.0,8436.0,Одеська область,Ананьївський район,5120210100,М,51,town,
м. Арциз,15021.0,14919.0,14859.0,Одеська область,Арцизький район,5120410100,М,51,town,
м. Балта,19082.0,18993.0,18955.0,Одеська область,Балта,5110200000,М,51,town,
м. Березівка,9778.0,9815.0,9891.0,Одеська область,Березівський район,5121210100,М,51,town,
смт Раухівка,2676.0,2691.0,2709.0,Одеська область,Березівський район,5121255600,Т,51,smt,
смт Хлібодарське,2344.0,2398.0,2440.0,Одеська область,Біляївський район,5121056800,Т,51,smt,
м. Біляївка,11993.0,11891.0,11873.0,Одеська область,Біляївка,5110500000,М,51,town,
м. Болград,15584.0,15499.0,15423.0,Одеська область,Болградський район,5121410100,М,51,town,
смт Велика Михайлівка,5673.0,5638.0,5620.0,Одеська область,Великомихайлівський район,5121655100,Т,51,smt,
смт Цебрикове,2836.0,2854.0,2848.0,Одеська область,Великомихайлівський район,5121655500,Т,51,smt,
смт Іванівка,2497.0,2496.0,2522.0,Одеська область,Іванівський район,5121855100,Т,51,smt,
смт Петрівка,4693.0,4694.0,4700.0,Одеська область,Іванівський район,5121855400,Т,51,smt,
смт Радісне,1597.0,1583.0,1583.0,Одеська область,Іванівський район,5121855600,Т,51,smt,
смт Суворове,4623.0,4591.0,4562.0,Одеська область,Ізмаїльський район,5122055400,Т,51,smt,
м. Кілія,20449.0,20311.0,20060.0,Одеська область,Кілійський район,5122310100,М,51,town,
м. Вилкове,8422.0,8365.0,8278.0,Одеська область,Кілійський район,5122310300,М,51,town,
м. Кодима,8860.0,8818.0,8796.0,Одеська область,Кодимський район,5122510100,М,51,town,
смт Слобідка,2396.0,2385.0,2362.0,Одеська область,Кодимський район,5122555500,Т,51,smt,
смт Доброслав,6903.0,6894.0,6908.0,Одеська область,Лиманський район,5122755100,Т,51,smt,КОМІНТЕРНІВСЬКЕ
смт Нові Білярі,202.0,201.0,196.0,Одеська область,Лиманський район,5122755400,Т,51,smt,
смт Чорноморське,6865.0,6928.0,6940.0,Одеська область,Лиманський район,5122755900,Т,51,smt,
смт Окни,5355.0,5340.0,5344.0,Одеська область,Окнянський район,5123155100,Т,51,smt,КРАСНІ ОКНИ
смт Любашівка,9459.0,9435.0,9404.0,Одеська область,Любашівський район,5123355100,Т,51,smt,
смт Зеленогірське,1568.0,1556.0,1543.0,Одеська область,Любашівський район,5123355300,Т,51,smt,
смт Миколаївка,2853.0,2840.0,2847.0,Одеська область,Миколаївський район,5123555100,Т,51,smt,
смт Овідіополь,11887.0,11957.0,11950.0,Одеська область,Овідіопольський район,5123755100,Т,51,smt,
смт Авангард,3502.0,3782.0,4076.0,Одеська область,Овідіопольський район,5123755200,Т,51,smt,
смт Великодолинське,13378.0,13446.0,13543.0,Одеська область,Овідіопольський район,5123755300,Т,51,smt,
смт Таїрове,2818.0,2922.0,2985.0,Одеська область,Овідіопольський район,5123755800,Т,51,smt,
м. Рені,19315.0,19109.0,18965.0,Одеська область,Ренійський район,5124110100,М,51,town,
м. Роздільна,17930.0,17995.0,18015.0,Одеська область,Роздільнянський район,5123910100,М,51,town,
смт Лиманське,7430.0,7458.0,7513.0,Одеська область,Роздільнянський район,5123955400,Т,51,smt,
